DATETIME,02_06_2022_11:38:48
IMAGE,./entrainements/mainCdS02_Konv002_03/test/CdS02_Konv002-01_0005.jpg
GROUND_TRUTH,./entrainements/mainCdS02_Konv002_03/test/CdS02_Konv002-01_0005.xml
MODEL,./modeles-rec/cds_lectcm_04_mains_01.mlmodel
Total_char_removed_from_reference,89
Total_char_removed_from_prediction,80
Total_diacritics_removed_from_reference,74
Total_diacritics_removed_from_prediction,77
Length_reference,2656
Length_prediction,2651
Length_reference_transformed,2567
Length_prediction_transformed,2571
,default,remove_punctuation,remove_diacritics,all_transforms
levensthein_distance_char,90,75,80,65
levensthein_distance_words,67,60,60,52
hamming_distance,Ø,Ø,Ø,Ø
wer,15.19,13.69,13.6,11.87
cer,3.38,2.92,3.01,2.53
wacc,84.8,86.3,86.39,88.12
wer_hunt,14.17,12.67,12.58,10.84
mer,3.37,2.9,2.99,2.51
cil,5.53,4.92,4.8,4.15
cip,94.46,95.07,95.19,95.84
hits,2579,2505,2589,2515
substitutions,59,53,49,43
deletions,18,9,18,9
insertions,13,13,13,13
