id	auteur(s)	dates	titre	genre	nombre de mots
K788.xml	CHATEAUBRIAND François-René de	1848	Mémoires d'outre-tombe : t. 1	mémoires	173126
K794.xml	CHATEAUBRIAND François-René de	1848	Mémoires d'outre-tombe : t. 2	mémoires	199943
K797.xml	CHATEAUBRIAND François-René de	1848	Mémoires d'outre-tombe : t. 3	mémoires	202729
L958.xml	GUÉRIN Eugénie de	1847	Lettres (1831-1847)	correspondance	127100
M758.xml	BALZAC Honoré	1844	Le Lys dans la vallée	roman	127260
M975.xml	HUGO Victor, Marie	1848	Correspondance : t. 1 : 1814-1848	correspondance	125950
N924.xml	CHODERLOS DE LACLOS Pierre-Ambroise-François	1782	Les Liaisons dangereuses	roman	148437
R633.xml	GAUTIER Théophile	1843	Voyage en Espagne	récit de voyage	129868
S397.xml	SUE Eugène	1843	Les Mystères de Paris	roman	571912
S406.xml	SUE Eugène	1845	Le Juif errant	roman	571009
