Adresse de l’image	Type de signe	Nature	Majuscule ou minucule ?	Commentaire	Problème	Encodage
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/A_CdS-b1-00k3-0_01.jpg	lettre	A	min			
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/A_CdS-b1-00k3-0_02.jpg	lettre	A	min			
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/A-fin_CdS-b1-00k3-0_01.jpg	lettre	A	min	final		
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/A_CdS-b1-00k3-0_03.jpg	lettre	A	min			
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/B-maj_CdS-b1-00k3-1.jpg	lettre	B	maj			
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/D_CdS-b1-00k3-1_01.jpg	liaison	Dre	min			
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/Er_CdS-b1-00k3-1.jpg	liaison	Er	min			
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/F-ini_CdS-b1-00k3-0_01.jpg	lettre	F	min	initial		
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/N-ini_CdS-b1-00k3-0_01.jpg	lettre	H	min	initial		
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/Lle_CdS-b1-00k3-1.jpg.jpg	lettre	Lle	min			
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/O_CdS-b1-00k3-0_01.jpg	lettre	O	min			
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/O_CdS-b1-00k3-0_02.jpg	lettre	O	min			
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/S-ini_CdS-b1-00k3-1_01.jpg	lettre	S	min	initial		
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/T-ini-CdS-b1-00k3-0_01.jpg	lettre	T	min	initial		
/home/sbiay/dhi/htr/sources/mainAuteur/exemples-paleo/T-fin_CdS-b1-00k3-0_01.jpg	lettre	T	min	final		
